date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:21	169856/169856	---M--	200	added ('OK')	image/jpeg	etag:%221750968029%22	https://i.ytimg.com/vi/jDgYzlqe4UU/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/jDgYzlqe4UU/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:22	187173/187173	---M--	200	added ('OK')	image/jpeg	etag:%221750881634%22	https://i.ytimg.com/vi/ZfcilKP1Ugc/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/ZfcilKP1Ugc/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:23	207996/207996	---M--	200	added ('OK')	image/jpeg	etag:%221751791711%22	https://i.ytimg.com/vi/uk_9Lo0hCSo/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/uk_9Lo0hCSo/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:24	223876/223876	---M--	200	added ('OK')	image/jpeg	etag:%221750708802%22	https://i.ytimg.com/vi/-XjlrGO2eeM/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/-XjlrGO2eeM/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:24	206715/206715	---M--	200	added ('OK')	image/jpeg	etag:%221751661438%22	https://i.ytimg.com/vi/Eq4Kn_oN8vw/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/Eq4Kn_oN8vw/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:25	208176/208176	---M--	200	added ('OK')	image/jpeg	etag:%221751575434%22	https://i.ytimg.com/vi/OE_imsVDL_Y/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/OE_imsVDL_Y/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:26	4825/4825	---M--	200	added ('OK')	image/png	etag:%2268405a8b-12d9%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-bird.e1b3b6.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-bird.e1b3b6.png	(from https://personplaceorthingontv.com/)
16:23:26	195875/195875	---M--	200	added ('OK')	image/jpeg	etag:%221751055164%22	https://i.ytimg.com/vi/oBuIcW1Pu60/maxresdefault.jpg	C:/My%20Web%20Sites/place2/i.ytimg.com/vi/oBuIcW1Pu60/maxresdefault.jpg	(from https://personplaceorthingontv.com/)
16:23:26	138533/138533	---M--	200	added ('OK')	image/png	etag:%2268405a8b-21d25%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-host.b62ac4.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-host.b62ac4.png	(from https://personplaceorthingontv.com/)
16:23:27	20431/20431	---M--	200	added ('OK')	image/png	etag:%2268405a8b-4fcf%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/georgia-footer.6387d7.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/georgia-footer.6387d7.png	(from https://personplaceorthingontv.com/)
16:23:27	39805/39805	---M--	200	added ('OK')	image/png	etag:%2268405a8b-9b7d%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/ppot_map.24a898.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/ppot_map.24a898.png	(from https://personplaceorthingontv.com/)
16:23:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Jul%202025%2023:23:27%20GMT	https://personplaceorthingontv.com/sponsors	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/sponsors	(from https://personplaceorthingontv.com/)
16:23:28	363316/363316	---MCZ	200	added ('OK')	text/javascript	etag:W/%2268405a8b-58b34%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/js/app.b837d5.js	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/js/app.b837d5.js	(from https://personplaceorthingontv.com/)
16:23:29	402883/402883	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2023:23:27%20GMT	https://personplaceorthingontv.com/sponsors/	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/sponsors/index.html	(from https://personplaceorthingontv.com/)
16:23:30	442972/442972	---M--	200	added ('OK')	font/woff2	etag:%2268405a8b-6c25c%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.8a6f4e.woff2?fjdpfn	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.8a6f4ed248.woff2	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:30	1298532/1298532	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2268405a8b-13d064%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.5dfe5d.eot?fjdpfn	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.5dfe5dd248.eot	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:31	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:30%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/ajax-loader.0b80f6.gif	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/ajax-loader.0b80f6.gif	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:31	1298444/1298444	---M--	200	added ('OK')	font/woff	etag:%2268405a8b-13d00c%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.101c2f.woff?fjdpfn	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.101c2fd248.woff	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:32	4358684/4358684	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268405a8b-42821c%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.86da4d.svg?fjdpfn	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.86da4dd248.svg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:33	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:31%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.25572f.eot	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.25572f.eot	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:33	1298368/1298368	---M--	200	added ('OK')	font/ttf	etag:%2268405a8b-13cfc0%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.2793c1.ttf?fjdpfn	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/fonts/icomoon.2793c1d248.ttf	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:34	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:33%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.25572f.eot?	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.25572fd41d.eot	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:34	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:33%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.653a4c.woff	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.653a4c.woff	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:35	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:34%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.6aa1ee.ttf	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.6aa1ee.ttf	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:36	22707/22707	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2023:23:34%20GMT	https://personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.f895cf.svg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/node_modules/slick-carousel/slick/fonts/slick.f895cf.svg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:37	1455/1455	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268405a8b-5af%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/blue-glow.488a8f.svg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/blue-glow.488a8f.svg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:37	350348/350348	---M--	200	added ('OK')	image/jpeg	etag:%2268405a8b-5588c%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/front-header-bg.4a847fb24bdfb155.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/front-header-bg.4a847fb24bdfb155.jpg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:38	75539/75539	---M--	200	added ('OK')	image/png	etag:%2268405a8b-12713%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/ppot-bg-pattern.ac0fa2b8e0f46af6.png	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/ppot-bg-pattern.ac0fa2b8e0f46af6.png	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:38	453797/453797	---M--	200	added ('OK')	image/jpeg	etag:%2268405a8b-6eca5%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/player-background.9ef2f5d4d394f763.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/player-background.9ef2f5d4d394f763.jpg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:38	326902/326902	---M--	200	added ('OK')	image/jpeg	etag:%2268405a8b-4fcf6%22	https://personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-bg.d2717c18714582cc.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/themes/personplaceorthing/public/images/contestant-bg.d2717c18714582cc.jpg	(from https://personplaceorthingontv.com/app/themes/personplaceorthing/public/css/app.0294e9.css)
16:23:38	483279/483279	---M-Z	200	added ('OK')	text/css	etag:%22676048a5-14217%22	https://ka-p.fontawesome.com/releases/v6.7.2/css/pro.min.css?token=3106eacc42	C:/My%20Web%20Sites/place2/ka-p.fontawesome.com/releases/v6.7.2/css/pro.min9e82.css	(from https://kit.fontawesome.com/3106eacc42.css)
16:23:39	45719/45719	---M--	200	added ('OK')	image/jpeg	etag:%2266e42390-b297%22	https://personplaceorthingontv.com/app/uploads/2024/09/philips.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/uploads/2024/09/philips.jpg	(from https://personplaceorthingontv.com/sponsors/)
16:23:39	49436/49436	---M--	200	added ('OK')	image/jpeg	etag:%2266e42451-c11c%22	https://personplaceorthingontv.com/app/uploads/2024/09/marley-spoon.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/uploads/2024/09/marley-spoon.jpg	(from https://personplaceorthingontv.com/sponsors/)
16:23:39	44484/44484	---M--	200	added ('OK')	image/jpeg	etag:%2266e42491-adc4%22	https://personplaceorthingontv.com/app/uploads/2024/09/bartesian.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/uploads/2024/09/bartesian.jpg	(from https://personplaceorthingontv.com/sponsors/)
16:23:44	56650/56650	---M--	200	added ('OK')	image/jpeg	etag:%2266e424f8-dd4a%22	https://personplaceorthingontv.com/app/uploads/2024/09/tempo.jpg	C:/My%20Web%20Sites/place2/personplaceorthingontv.com/app/uploads/2024/09/tempo.jpg	(from https://personplaceorthingontv.com/sponsors/)
